judul,kategori,isi,link
Siapa Charlie Kirk Influencer Loyalis Trump yang Tewas Ditembak?,internasional,"Influencer (pemengaruh) Amerika Serikat sekaligus loyalis PresidenDonald Trump,Charlie Kirk, tewas ditembak saat sedang menjadi pembicara di Universitas Utah Valley, Rabu (10/9). Dari video yang beredar, dia tampak sedang berada di suatu acara di bawah tenda besar. Lalu tiba-tiba terdengar suara tembakan dan Kirk tampak tersungkur. Orang-orang berteriak dan berlarian menyaksikan insiden tersebut. Pihak Universitas Valley membenarkan ada penembakan di kampusnya sekitar pukul 12.10 waktu setempat. ADVERTISEMENT SCROLL TO CONTINUE WITH CONTENT ""Sebuah tembakan ditargetkan ke pembicara tamu, Charlie Kirk. Dia tertembak dan telah dibawa dari lokasi oleh tenaga keamanannya. Polisi kampus masih menginvestigasi terduga pelaku yang sudah diamankan,"" demikian pernyataan kampus itu.  Kirk merupakan aktivis politik sayap kanan dan co-founder organisasi yang menyebarkan paham konservatif di seluruh Amerika Serikat, Turning Point USA (TPUSA). Misi organisasi nirlaba ini adalah mengorganisir mahasiswa untuk mempromosikan prinsip-prinsip tanggung jawab fiskal, pasar bebas, dan pemerintahan terbatas. TPUSA kini memiliki cabang di lebih dari 850 perguruan tinggi, TPUSA memainkan peran kunci dalam pemilihan umum tahun lalu, demikian menurut BBC. Mereka berhasil mempengaruhi pemilih baru untuk memilih Trump dan membalikkan situasi di Arizona. Wilayah tersebut biasanya didominasi pendukung Demokrat. CNNmelaporkan Kirk begitu memahami denyut nadi gerakan konservatif muda dan basis pendukung Make America Great Again (MAGA).  Dia bahkan pernah menulis buku The MAGA Doctrine pada 2020, yang merujuk pada kampanye Trump di pemilihan umum AS sebelumnya. Kirk juga jadi salah satu pendukung/loyalis Trump. Politikus Republik ini bahkan menyampaikan duka cita dan mengunggahnya di akun media sosial resmi. ""Charlie Kirk yang luar biasa, legendaris, telah meninggal. Tidak ada seorangpun yang memahami atau memiliki Hati Pemuda di Amerika Serikat yang lebih baik dibandingkan Charlie,"" kata Trump. Trump juga pernah menyampaikan terima kasih secara khusus untuk Kirk. Pernyataan ini lalu diunggah di podcast dia. Kirk menghadiri pelantikan Trump pada Januari lalu, dan sudah jadi pengunjung tetap di Gedung Putih selama dua masa jabatan Trump.  Beberapa pandangan Kirk dianggap kontroversial. Ia menyebarkan pandangan anti-transgender dan skeptisisme terhadap pandemi Covid-19, menyebar klaim palsu bahwa hasil pemilu 2020 dicuri, dan menyoroti teori konspirasi soal mengganti orang kulit putih dengan kaum minoritas atau Great Replacement. Kirk merupakan anak dari arsitek dan tumbuh besar di kawasan kota pinggiran kota Chicago. Ia sempat mengenyam pendidikan di kota tersebut sebelum jadi aktivis politik sayap kanan.",https://www.cnnindonesia.com/internasional/20250911082830-134-1272411/siapa-charlie-kirk-influencer-loyalis-trump-yang-tewas-ditembak
"VIDEO: Gambaran Dahsyatnya Banjir Bali, Sekarang Mulai Surut",tv,"Kamis dini hari, banjir yang melanda sebagian wilayah di Bali mulai surut. Di Pasar Badung, genangan air yang sebelumnya mencapai ketinggian lebih dari lima meter kini berangsur turun seiring dengan normalnya debit sungai.Polri bersama TNI dan BPBD serta instansi terkait terus berupaya mengevakuasi korban banjir di Bali. Tak hanya itu, Polri juga menyiapkan program trauma healing bagi para pengungsi, terutama anak-anak dan keluarga korban.",https://www.cnnindonesia.com/tv/20250911085242-400-1272415/video-gambaran-dahsyatnya-banjir-bali-sekarang-mulai-surut
Militer Nepal Batasi Aktivitas Pascademo Gulingkan Rezim Pemerintahan,internasional,"Militer Nepalmengambil kembali kendali atas Kathmandu setelah aksi demonstrasi besar-besaran yang membuat rezim pemerintahan di negara tersebut pekan ini. Bukan hanya itu, mengutip dariAFP,militer pun memberlakukan pembatasan aktivitas pascademo yang berujung kerusuhan maut tersebut. Tentara Nepal memberlakukan jam malam dan memulai pembicaraan dengan para pemimpin demonstran. Pasukan tentara terlihat berpatroli di jalan-jalan ibu kota Nepal itu. Mobil-mobil lapis baja tentara dilaporkan bergemuruh melewati bangkai-bangkai kendaraan dan bangunan yang terbakar di kawasan tersebut. ADVERTISEMENT SCROLL TO CONTINUE WITH CONTENT Sementara itu, aparat menggunakan pengeras suara menyerukan ketenangan di tengah kekosongan politik setelah demonstran berhasil menggulingkan pemerintahan Perdana Menteri KP Sharma Oli. ""Perintah larangan beraktivitas di ruang publik akan berlaku hingga pukul 17.00 waktu setempat hari ini, setelah itu akan diberlakukan jam malam di seluruh negeri mulai pukul 06.00 pada Kamis,"" demikian pernyataan Tentara Nepal yang dikutip dariThe Himalayan Times.  Panglima militer Nepal, Jenderal Ashok Raj Sigdel mengadakan konsultasi dengan para pemangku kepentingan terkait, termasuk dengan perwakilan Gen Z yang menjadi motor demonstrasi sejak awal pekan ini. Namun, saat berita ini disadur dariAFP, belum ada rincian lebih lanjut. Dalam pidatonya Selasa malam, Kepala Staf Angkatan Darat Jenderal Ashok Raj Sigdel menyerukan masyarakat untuk tetap tenang dan membuka ruang dialog guna menyelesaikan krisis di negara pegunungan Himalaya itu. Di satu sisi, eks Ketua Mahkamah Agung (MA) Nepal, Shushila Karki (73) disebut-sebut akan menjadi perdana menteri sementara (interim). Sebelumnya, demonstrasi besar pecah di Nepal, terutama di ibu kota Kathmandu. Disebut-sebut identik dengan demo bergelombang di Indonesia sebelumnya, para demonstran yang dimotori Gen Z Nepal memprotes pemerintahan Sharma Oli dan perwakilan rakyat di DPR. Demo itu kemudian menjadi kacau ketika terjadi aksi pembakaran sejumlah gedung pemerintahan penting,  gedung parlemen, kediaman pribadi Oli, dan kantor presiden.  Kompleks pemerintahan Singha Durbar yang menjadi pusat kantor kementerian di Nepal juga mengalami kerusakan parah. Kementerian Kesehatan dan Kependudukan, bersama kantor pemerintahan lain termasuk Mahkamah Agung, dilaporkan hancur total. Selain itu, setidaknya ada 20 demonstran tewas, sebagian besar kalangan muda, tewas dan hampir 350 orang lainnya terluka sejak Senin (8/9) ketika aksi unjuk rasa pecah  setelah pemerintah melarang penggunaan media sosial. ",https://www.cnnindonesia.com/internasional/20250911000640-113-1272346/militer-nepal-batasi-aktivitas-pascademo-gulingkan-rezim-pemerintahan
Bali Tanggap Darurat Bencana Banjir Satu Pekan,nasional,"Kepala Badan Nasional Penanggulangan Bencana (BNPB) Letjen TNI Suharyanto mengatakanPemerintah Provinsi Balitelah menetapkan Tanggap Darurat Bencana selama satu minggu atau satu pekan usai dilanda banjir di sejumlah titik, Rabu (10/9). ""Betul. Jadi Bapak Gubernur malam ini sudah keluarkan dan tanda tangan. Tadi diskusi, semula tanggap darurat bencana itu akan ditetapkan dua Minggu. Tapi karena sifat bencananya ternyata tidak terlalu besar, maka akan diralat cukup menjadi satu minggu,"" kata Suharyanto usai mengikuti Rapat Koordinasi Banjir Provinsi Bali yang digelar di Kerta Sabha, Rumah Dinas Gubernur Bali, Denpasar, Rabu malam. ""Sehingga, nanti langsung kita melakukan langkah-langkah untuk perbaikan, rehabilitasi, rekonstruksi pascabencana,"" imbuhnya. ADVERTISEMENT SCROLL TO CONTINUE WITH CONTENT Suharyanto lantas mengimbau masyarakat tak perlu panik dengan status tanggap darurat bencana yang baru ditetapkan itu.   Ia mengatakan itu hanyalah sebuah tahap syarat administrasi agar pemerintah pusat bisa memberikan bantuan ke pemerintah daerah dalam menanggulangi dampak bencana. ""Jadi untuk tahap awal tadi itu, kalau di uang-kan Rp1 miliar lebih, ditambah genset ditambah pompa sekitar Rp5 miliar. Tapi itu kan akan berkembang. Yang kita bawa baru selimut, baru sembako, matras, tapi baru begitu sampai oh genset butuh, pompa butuh besok ke tempat pengungsian mungkin butuh lagi. Intinya semua kebutuhan di masyarakat terdampak kita akan lengkapi,"" jelas Suharyanto. Selain itu, untuk hari ini kebutuhan dasar masyarakat yang terdampak banjir di sejumlah wilayah Pulau Bali sudah tertangani dengan baik. ""Memang ada ratusan pengungsi tersebar di empat kabupaten dan kota. Di Denpasar, Kabupaten Jembrana, Gianyar dan Badung itu terdampak paling berat itu ada ratusan pengungsi tersebar, semuanya tertangani dengan baik,"" ujarnya. ""Tentu saja dari pemerintah pusat lewat BNPB juga sudah kita berikan bantuan baik kebutuhan dasar dari masyarakat terdampak. Kemudian juga peralatan penanggungan bencana, tadi Pak Gubernur juga minta tambahan pompa dan ganset, kita dukung dan juga untuk rumah masyarakat diganti sebagaimana bencana-bencana di tempat lainnya,"" jelasnya.  Ia juga menyebutkan, untuk rumah-rumah warga yang rusak berat terdampak banjir akan diganti pemerintah, dan yang rusak sendang dan ringan juga akan dibantu pemerintah. ""Jadi yang rusak berat diganti rumahnya oleh pemerintah, yang rusak sedang dan rusak ringan dibantu perbaikannya melalui dana yang disalurkan oleh pemerintah pusat. Artinya semua yang terjadi bencana ini kita akan lakukan semaksimal mungkin,"" jelasnya. Dia mengatakan untuk penanganan pascabanjir, sudah ada unsur gabungan TNI-Polri dan juga relawan dari Kementerian lembaga terkait dan sudah terbentuk dari TNI-Polri sendiri 4 Satuan Setingkat Kompi (SSK). ""Jadi paling tidak ada 400 sampai 600 orang yang bergerak di lapangan mulai kemarin, malam ini dan besok. Ini membantu masyarakat melaksanakan pembersihan, baik menggunakan tangan mengunakan alat peralatan ringan sampai dengan alat berat,"" ujarnya. ",https://www.cnnindonesia.com/nasional/20250819105639-20-1263953/bali-tanggap-darurat-bencana-banjir-satu-pekan
Pangeran Harry dan Raja Charles Akhirnya Bertemu Lagi,hiburan,"Pangeran Harrydan Raja Charles III akhirnya bertemu untuk pertama kalinya setelah lebih dari setahun berjarak. Pertemuan ayah dan anak tersebut berlangsung di London pada Rabu (10/9) sore waktu setempat. Menurut laporan sumber kepadaPage Six, Duke of Sussex tiba di kediaman pribadi Raja, Clarence House, pada pukul 17.20 waktu setempat untuk acara ""minum teh privat"".  ADVERTISEMENT SCROLL TO CONTINUE WITH CONTENT Mereka juga disebut mengobrol selama kurang lebih satu jam. Pertemuan itu jauh lebih lama dari pertemuan terakhir Harry saat menjenguk ayahnya terakhir kali, yakni 30 menit. Dalam sejumlah foto yang dirilis oleh Page Six, Harry yang berusia 40 tahun datang ke Clarence House dengan sebuah SUV hitam. Setelah bertemu selama 55 menit dalam acara minum teh, Pangeran Harry sempat menyapa dan menjawab singkat pertanyaan awak media yang menunggu di luar Clarence House. ""Ya, ayah dalam kondisi baik, terima kasih,"" kata Harry singkat saat menjawab soal pertemuan tersebut, seperti diberitakanDaily Mailpada Rabu (10/9).    Pertemuan itu jadi yang pertama kalinya sejak Februari 2024 setelah Raja Charles yang kini berusia 76 tahun mengumumkan tengah menjalani perawatan kanker. Keberadaan Harry di Inggris tersebut adalah untuk mendatangi sejumlah acara, termasuk WellChild Awards 2025 dan memberikan penghormatan kepada, mendiang Ratu Elizabeth II, di pusara neneknya itu.  Pangeran Harry dan Raja Charles terlibat drama keluarga yang rumit dalam beberapa tahun terakhir, mulai dari Harry keluar dari Kerajaan Inggris, merilis buku memoar kontroversial, hingga wawancara dengan BBC. Raja Charles III disebut kesal dan frustrasi dengan kelakuan anaknya, Pangeran Harry, yang membahas permasalahan keluarga dalam wawancara dengan BBC setelah kekalahan dalam gugatan jaminan keamanan yang ia minta ke Pemerintah Inggris. Raja Charles bahkan merasa Harry tidak menghargai dan memahami posisinya yang sulit sebagai monarki yang tak bisa campur tangan dalam permasalahan pemerintahan seperti yang terjadi dengan Harry. Pangeran Harry sebelumnya mengakui kepada BBC bahwa dirinya sudah tak berbicara dengan Raja Charles sejak lama yang sekaligus mengakui konflik keluarga mereka di hadapan publik.  [Gambas:Video CNN]  Pengakuan itu terjadi setelah Harry kalah dalam gugatan permintaan perlindungan darinya kepada Pemerintah Inggris. Harry menuntut ia dan keluarganya diberikan perlindungan oleh Pemerintah Inggris saat datang ke kampung halamannya itu seperti pada masa lalu. Namun permintaan itu ditolak lantaran perlindungan oleh pihak kepolisian dan pemerintah yang dibiayai oleh pajak masyarakat hanya bisa diberikan kepada anggota aktif keluarga Kerajaan Inggris. Sementara itu, Harry dan Meghan Markle sudah mundur sejak 2020. Harry juga meminta opsi untuk bisa membayar kepolisian Inggris dalam rangka kebutuhan keamanan tersebut, tapi hal ini juga ditolak. Dengan begitu, Harry hanya bisa mendapatkan layanan keamanan bila ia menyewa jasa penyedia swasta.   [Gambas:Twitter]     [Gambas:Twitter]  ",https://www.cnnindonesia.com/hiburan/20250911082550-234-1272410/pangeran-harry-dan-raja-charles-akhirnya-bertemu-lagi
Wacana Tarif Parkir Jakarta Bakal Naik Dibantah Gubernur Pramono,otomotif,"Narasitarif parkirdi ibu kota bakal naik yang muncul beberapa hari belakangan dibantah Gubernur DKI JakartaPramono Anung. Menurut Pramono belum ada rencana kenaikan tersebut. ""Jadi, sampai hari ini, belum ada rencana kenaikan tarif parkir. Sehingga apa yang disampaikan, saya nggak tahu siapa yang menyampaikan itu, itu tidak benar,"" kata Pramono di Jakarta, Rabu (10/9).  ADVERTISEMENT SCROLL TO CONTINUE WITH CONTENT Narasi kenaikan tarif parkir semakin mencuat usai Dinas Perhubungan Jakarta mengunggah konten berisi perbandingan tarif parkir Jakarta dengan kota besar lain di Indonesia dan negara lain. Tarif parkir mobil Jakarta dicantumkan sebesar Rp5.000 per jam pertama, motor Rp2.000, bus Rp8.000 dan truk Rp8.000. ADVERTISEMENT SCROLL TO CONTINUE WITH CONTENT Sementara di kota lain seperti Depok, mobil Rp5.500, Motor Rp3.500, Bus Rp10.000 dan Truk Rp10.000. Sedangkan di Surabaya, Mobil Rp8.000, Motor Rp3.000, Bus Rp20.000 dan Truk Rp20.000. Dibanding kota di luar negeri, tarif parkir 8 jam on-street di New York besarnya 17,26 persen dari pendapatan rata-rata penduduk. Sedangkan di Paris 51,3 persen dan Delhi 27,36 persen, Kuala Lumpur 17,41 persen, Singapura 10,71 persen dan Jakarta 1,91 persen. Dalam unggahan itu juga disebutkan manfaat tarif parkir baru di Jakarta, di antaranya buat digitalisasi perparkiran, meningkatkan sarana dan prasarana perpakiran serta mendorong masyarakat beralih ke angkutan umum. Rencana menaikkan tarif parkir sebenarnya pernah diungkap Pramono pada Juni. Dia bilang hal ini diperlukan guna membenahi sistem transportasi di ibu kota. ""Mohon maaf bagi orang-orang yang mampu, nanti pelan-pelan parkirnya saya mau naikkan,"" kata Pramono di kawasan Semanggi, Jakarta Selatan, Selasa (10/6). Bukan cuma tarif parkir baru, Pramono saat itu juga mengatakan ingin menerapkan sistem jalan berbayar elektronik atau Electronic Road Pricing (ERP). Dia bilang dana dari kenaikan tarif parkir dan ERP akan dialihkan untuk subsidi layanan transportasi umum, termasuk TransJakarta, MRT, dan LRT, agar dapat digunakan secara gratis oleh 15 golongan masyarakat prioritas. ""Bagi warga yang termasuk dalam 15 golongan, naik MRT, LRT, TransJakarta itu gratis. Bahkan saat TransJabodetabek terbentuk, masyarakat dari Bogor, Depok, Tangerang, Bekasi, hingga Cianjur juga akan digratiskan,"" ucap Pramono. [Gambas:Instagram]  Parkir cashless Selain membantah kenaikan tarif parkir, Pramono dalam pernyataan terbarunya mengatakan justru saat ini pihaknya sedang mengkaji penerapan pembayaran parkir nontunai atau cashless. ""Bahwa kita sedang mengkaji cashless untuk parkir, iya. Untuk mengatur perparkiran, iya. Tapi belum pernah ada keputusan apa pun, dan kalau ada keputusan harus mendapatkan persetujuan gubernur,"" ujarnya. ",https://www.cnnindonesia.com/otomotif/20250911082246-579-1272409/wacana-tarif-parkir-jakarta-bakal-naik-dibantah-gubernur-pramono
"Bapeten Temukan Cemaran Radioaktif di Serang, Warga Dites Kesehatan",nasional,"Badan Pengawas Tenaga Nuklir (Bapeten) menemukan sejumlah lokasi yang tercemar zat radioaktif, menyusul temuan pencemaran bahan radioaktif Cesium-137 di sekitar Kawasan Industri Modern Cikande, Kabupaten Serang, Banten. Sementara itu, warga menjalani pemeriksaan di fasilitas kesehatan untuk mengantisipasi paparan pencemaran zat radioaktif.  ADVERTISEMENT SCROLL TO CONTINUE WITH CONTENT Kabiro Hukum, Kerja Sama, dan Komunikasi Publik Bapeten Ishak, menyebutkan lokasi temuan baru dugaan cemaran zat radioaktif itu tidak berjauhan dari lokasi temuan awal. ""Bapeten telah melakukan monitoring radioaktivitas lingkungan hingga radius lima kilometer. Dan berdasarkan hasil monitoring, ditemukan beberapa lokasi lain yang menunjukkan paparan radiasi yang cukup tinggi,"" katanya, Selasa (9/9) seperti dikutip dariAntara. Ishak menyebut Bapeten bersama dengan Kepolisian Negara Republik Indonesia (Polri) dan Kementerian Lingkungan Hidup (KLH) melakukan penanganan sementara dengan memasang tali pembatas di lokasi-lokasi tersebut. Ia juga menuturkan pihaknya bersama Polri dan KLH juga tengah mendalami penyebab kontaminasi zat radioaktif di wilayah Kawasan Industri Modern Cikande. ""Berdasar indikasi awal, ada dugaan bahwa kontaminasi disebabkan karena lepasan ke udara dari proses peleburan logam di industri peleburan logam yang ada di daerah tersebut,"" ujarnya.  Sementara itu, pada Rabu (10/9), warga di sekitar lokasi temuan cemaran  radioaktif di Kecamatan Cikande, Kabupaten Serang, diperiksa kesehatannya di puskesmas. Salah satunya Heri Sanjaya, warga Desa Nambo, yang diperiksa darahnya. Pemeriksaan kesehatan dilakukan usai temuan dugaan paparan radioaktif di wilayah Industri Modern Cikande oleh Bapeten dan KLH. ""Cek kesehatan, ada 6 orang (yang tinggal di deket limbah radioaktif). Intinya biar sehat semua, jangan ada kena imbasnya radiasi itu, radioaktif. Banyakan (di dalem). Pemeriksaannya cek darah sama kesehatan aja,"" ujar Heri Sanjaya, ditemui usai pemeriksaan kesehatan, Rabu siang. Begitupun warga lainnya, Saijam. Warga Desa Babakan, Kecamatan Cikande, itu mengaku ditanyai mengalami keluhan kesehatan apa saja. Kemudian, sambungnya, sampel darahnya pun kut diambil untuk diperiksa di laboratorium. ""Ditanyain punya keluhan apa, sakitnya apa gitu. Mungkin takutnya ke situ (pengaruh paparan radioaktif), pengetesan kesehatan tubuhnya, keseluruhan, dari ujung kaki sampai atas kepala, diambil darah juga,"" jelasnya. Sementara itu, Camat Cikande, Moh Agus, saat dikonfirmasi enggan memberikan komentar terkait pemeriksaan kesehatan warganya di puskesmas tersebut. ""Enggak berani, [tanya] Bapeten aja, Bapeten. Enggak berani saya [jawab],"" kata dia.  Temuan dugaan cemaran zat radioaktif di Cikande, Serang, itu terjadi setelah Badan p ngawas obat dan makanan Amerika Serikat atau Food and Drug Administration (FDA) mengeluarkan laporan adanya radioaktif pada sampel udang beku asal Indonesia. Laporan yang diterbitkan pada 19 Agustus 2025 itu mengindikasikan udang beku asal Indonesia berasal dari PT Bahari Makmur Sejati (BMS), di Kecamatan Cikande, Kabupaten Serang, Banten. Kemudian berdasarkan hasil pengukuran Bapeten tidak menemukan indikasi keberadaan Cs-137. Namun paparan terdeteksi di sejumlah lapak besi bekas di sekitarnya. ",https://www.cnnindonesia.com/nasional/20250911041832-20-1272359/bapeten-temukan-cemaran-radioaktif-di-serang-warga-dites-kesehatan
Verona vs Cremonese: Audero dkk Berpeluang Tetap di Papan Atas,olahraga,"Cremoneseyang diperkuatEmil Auderopunya peluang untuk tetap bertahan di papan atas Liga Italia pada pekan ketiga kali ini. Di pekan ketiga, Cremonese akan menghadapi tuan rumah Verona. Laga ini akan berlangsung pada Senin (15/9). Dalam dua laga yang telah dijalani, Cremonese selalu memetik poin penuh. Pada pekan pertama, Cremonese mengalahkan AC Milan dengan skor 2-1 dan lalu dilanjutkan dengan kemenangan 3-2 atas Sassuolo. ADVERTISEMENT SCROLL TO CONTINUE WITH CONTENT  Kemenangan tersebut jelas memberikan kepercayaan diri yang luar biasa pada Cremonese. Sebagai tim promosi, Cremonese mencatat start yang luar biasa musim ini. Emil Audero, walaupun kebobolan tiga gol, tetap mendapat pujian. Pasalnya, Audero mencatat banyak penyelamatan gemilang di dua laga tersebut. Cremonese pun sejajar dengan tiga tim elite Italia yaitu Napoli, Juventus, dan AS Roma.    Sementara itu Verona yang jadi calon lawan Cremonese tidak berada dalam kondisi baik. Dari dua laga awal yang dimainkan, Verona hanya membukukan satu poin. Setelah bermain imbang 1-1 lawan Udinese, Verona dilumat 0-4 oleh Lazio. Dan laga lawan Cremonese ini jadi laga kandang pertama Verona musim ini.  [Gambas:Video CNN] ",https://www.cnnindonesia.com/olahraga/20250910130815-142-1272106/verona-vs-cremonese-audero-dkk-berpeluang-tetap-di-papan-atas
KPK Dalami Khalid Basalamah Pilih Haji Khusus Meski Sudah Bayar Furoda,nasional,"Komisi Pemberantasan Korupsi (KPK) mendalami keputusan pendakwah sekaligus pemilik agensi perjalanan haji PT Zahra Oto Mandiri atau Uhud TourKhalid Zeed Abdullah Basalamahyang memilih menunaikan ibadah haji pada tahun 1445 Hijriah/2024 Masehi dengan memakai kuota khusus, meskipun sudah membayar dan siap naik haji lewat jalur furoda. ""Didalami. Itu didalami,"" ujar Pelaksana Tugas Deputi Penindakan dan Eksekusi KPK Asep Guntur Rahayu di Gedung Merah Putih KPK, Jakarta, Rabu. Ketika ditanya mengenai pendalaman yang dilakukan KPK turut membahas keputusan Khalid Basalamah dilatarbelakangi faktor ekonomis atau tidak, Asep menyarankan agar pertanyaan tersebut langsung ditanyakan kepada yang bersangkutan. ADVERTISEMENT SCROLL TO CONTINUE WITH CONTENT ""Kalau ke sini (KPK, red.) lagi, nanti ditanya, 'Pak, lebih murah ya?' (alasan lepas furoda meski sudah bayar, dan memilih haji khusus, red.),"" katanya. Walaupun demikian, Asep menjelaskan penyidik KPK mendapatkan informasi bahwa pada tahun keberangkatan haji tersebut tidak ada haji furoda, tetapi hanya ada kuota haji khusus yang merupakan hasil pembagian dari 20.000 kuota tambahan pemberian Pemerintah Arab Saudi untuk Indonesia.  ""Akan tetapi, yang jelas tersedia saat itu adalah kuota haji khusus karena pembagian yang 20.000 itu 10.000 haji reguler dan 10.000 haji khusus. Kuota haji khusus menjadi lebih banyak karena seharusnya hanya 1.600 atau delapan persen dari 20.000,"" katanya. Sebelumnya, Khalid Basalamah saat diperiksa KPK sebagai saksi kasus dugaan korupsi penentuan kuota dan penyelenggaraan ibadah haji pada Kementerian Agama tahun 2023-2024, Selasa (9/9) lalu, mengaku dirinya merupakan jemaah haji furoda yang sudah bayar dan siap berangkat menunaikan ibadah haji. ""Akan tetapi, ada seseorang bernama Ibnu Mas'ud yang merupakan pemilik PT Muhibbah (PT Muhibbah Mulia Wisata, red.) dari Pekanbaru, menawarkan kami visa ini, sehingga akhirnya kami ikut dengan visa itu di travelnya dia di Muhibbah. Jadi, kami terdaftar sebagai jemaah di situ,"" katanya saat memberikan keterangan setelah diperiksa KPK. KPK mengumumkan memulai penyidikan perkara dugaan korupsi dalam penentuan kuota dan penyelenggaraan ibadah haji pada Kementerian Agama tahun 2023-2024, yakni pada 9 Agustus 2025. Pengumuman dilakukan KPK setelah meminta keterangan mantan Menteri Agama Yaqut Cholil Qoumas dalam penyelidikan kasus tersebut pada 7 Agustus 2025. Pada saat itu, KPK juga menyampaikan sedang berkomunikasi dengan Badan Pemeriksa Keuangan (BPK) RI untuk menghitung kerugian keuangan negara dalam kasus kuota haji tersebut. Pada 11 Agustus 2025, KPK mengumumkan penghitungan awal kerugian negara dalam kasus tersebut mencapai Rp1 triliun lebih, dan mencegah tiga orang untuk bepergian ke luar negeri. Salah satunya adalah mantan Menag Yaqut Cholil Qoumas. Selain ditangani KPK, Pansus Angket Haji DPR RI sebelumnya juga menyatakan telah menemukan sejumlah kejanggalan dalam penyelenggaraan ibadah haji tahun 2024. Titik poin utama yang disorot pansus adalah perihal pembagian kuota 50 berbanding 50 dari alokasi 20.000 kuota tambahan yang diberikan Pemerintah Arab Saudi. Saat itu, Kementerian Agama membagi kuota tambahan 10.000 untuk haji reguler dan 10.000 untuk haji khusus. Hal tersebut tidak sesuai dengan Pasal 64 Undang-Undang Nomor 8 Tahun 2019 tentang Penyelenggaraan Ibadah Haji dan Umrah, yang mengatur kuota haji khusus sebesar 8 persen, sedangkan 92 persen untuk kuota haji reguler. ",https://www.cnnindonesia.com/nasional/20250911064844-12-1272383/kpk-dalami-khalid-basalamah-pilih-haji-khusus-meski-sudah-bayar-furoda
